time,BE100,BE211,BE332,EL30X,EL522,EL612
2019-01-21,202.0,200.0,150.0,711.0,215.0,77.0
2019-01-28,192.0,203.0,151.0,676.0,254.0,80.0
2019-02-04,195.0,242.0,164.0,655.0,222.0,71.0
2019-02-11,190.0,225.0,159.0,590.0,215.0,69.0
2019-02-18,202.0,211.0,163.0,605.0,216.0,59.0
2019-02-25,202.0,222.0,162.0,666.0,234.0,62.0
2019-03-04,187.0,212.0,155.0,584.0,222.0,63.0
2019-03-11,168.0,246.0,139.0,589.0,232.0,75.0
2019-03-18,163.0,176.0,131.0,555.0,181.0,41.0
2019-03-25,179.0,178.0,137.0,560.0,191.0,61.0
2019-04-01,138.0,198.0,142.0,629.0,193.0,48.0
2019-04-08,174.0,170.0,123.0,532.0,217.0,48.0
2019-04-15,193.0,180.0,116.0,511.0,205.0,59.0
2019-04-22,169.0,184.0,127.0,613.0,210.0,67.0
2019-04-29,146.0,191.0,131.0,578.0,193.0,56.0
2019-05-06,165.0,171.0,134.0,529.0,199.0,75.0
2019-05-13,171.0,171.0,124.0,527.0,193.0,66.0
2019-05-20,158.0,184.0,143.0,514.0,193.0,69.0
2019-05-27,171.0,171.0,93.0,570.0,197.0,65.0
2019-06-03,169.0,188.0,103.0,569.0,195.0,77.0
2019-06-10,154.0,155.0,124.0,564.0,242.0,79.0
2019-06-17,153.0,140.0,126.0,583.0,216.0,58.0
2019-06-24,184.0,173.0,125.0,558.0,224.0,58.0
2019-07-01,163.0,208.0,128.0,561.0,216.0,66.0
2019-07-08,147.0,152.0,94.0,559.0,214.0,54.0
2019-07-15,152.0,165.0,123.0,481.0,187.0,56.0
2019-07-22,221.0,184.0,145.0,579.0,202.0,69.0
2019-07-29,163.0,169.0,102.0,561.0,238.0,54.0
2019-08-05,174.0,149.0,102.0,540.0,213.0,60.0
2019-08-12,139.0,159.0,114.0,573.0,245.0,65.0
2019-08-19,159.0,172.0,114.0,543.0,198.0,57.0
2019-08-26,165.0,173.0,127.0,600.0,203.0,51.0
2019-09-02,170.0,161.0,126.0,521.0,184.0,35.0
2019-09-09,166.0,148.0,111.0,502.0,203.0,60.0
2019-09-16,156.0,176.0,127.0,519.0,199.0,57.0
2019-09-23,148.0,164.0,125.0,510.0,215.0,48.0
2019-09-30,186.0,185.0,133.0,529.0,236.0,52.0
2019-10-07,141.0,172.0,122.0,473.0,210.0,40.0
2019-10-14,152.0,199.0,123.0,509.0,198.0,58.0
2019-10-21,182.0,187.0,136.0,509.0,202.0,62.0
2019-10-28,167.0,176.0,108.0,528.0,201.0,63.0
2019-11-04,164.0,183.0,129.0,533.0,220.0,55.0
2019-11-11,150.0,176.0,117.0,468.0,261.0,65.0
2019-11-18,179.0,200.0,132.0,478.0,241.0,59.0
2019-11-25,152.0,196.0,129.0,570.0,188.0,75.0
2019-12-02,150.0,182.0,120.0,611.0,228.0,70.0
2019-12-09,176.0,215.0,127.0,601.0,220.0,71.0
2019-12-16,189.0,197.0,128.0,544.0,232.0,63.0
2019-12-23,166.0,181.0,119.0,593.0,241.0,79.0
2019-12-30,180.0,185.0,150.0,659.0,247.0,62.0
2020-01-06,185.0,228.0,145.0,675.0,273.0,73.0
2020-01-13,168.0,205.0,143.0,703.0,251.0,58.0
2020-01-20,177.0,186.0,137.0,692.0,237.0,61.0
2020-01-27,194.0,202.0,152.0,696.0,285.0,83.0
2020-02-03,188.0,191.0,136.0,690.0,242.0,91.0
2020-02-10,193.0,216.0,149.0,633.0,263.0,61.0
2020-02-17,191.0,198.0,149.0,587.0,208.0,54.0
2020-02-24,190.0,176.0,143.0,581.0,210.0,67.0
2020-03-02,190.0,196.0,133.0,606.0,231.0,72.0
2020-03-09,193.0,200.0,140.0,612.0,229.0,80.0
2020-03-16,254.0,197.0,158.0,614.0,230.0,67.0
2020-03-23,331.0,242.0,242.0,590.0,224.0,65.0
2020-03-30,482.0,266.0,316.0,584.0,227.0,60.0
2020-04-06,515.0,326.0,328.0,598.0,218.0,58.0
2020-04-13,373.0,300.0,256.0,513.0,205.0,58.0
2020-04-20,309.0,246.0,209.0,477.0,195.0,66.0
2020-04-27,235.0,223.0,151.0,557.0,220.0,64.0
2020-05-04,192.0,219.0,142.0,459.0,206.0,55.0
2020-05-11,175.0,201.0,128.0,568.0,226.0,73.0
2020-05-18,169.0,208.0,114.0,520.0,200.0,49.0
2020-05-25,148.0,196.0,108.0,433.0,171.0,60.0
2020-06-01,147.0,173.0,117.0,468.0,208.0,62.0
2020-06-08,143.0,170.0,104.0,478.0,201.0,50.0
2020-06-15,149.0,154.0,102.0,538.0,238.0,84.0
2020-06-22,161.0,162.0,133.0,500.0,219.0,63.0
2020-06-29,141.0,180.0,87.0,576.0,256.0,71.0
2020-07-06,126.0,142.0,127.0,554.0,197.0,54.0
2020-07-13,140.0,177.0,119.0,538.0,189.0,57.0
2020-07-20,159.0,151.0,109.0,513.0,224.0,59.0
2020-07-27,135.0,193.0,119.0,669.0,261.0,66.0
2020-08-03,158.0,209.0,130.0,618.0,244.0,68.0
2020-08-10,251.0,323.0,183.0,550.0,230.0,54.0
2020-08-17,205.0,226.0,138.0,582.0,219.0,45.0
2020-08-24,126.0,159.0,128.0,537.0,215.0,55.0
2020-08-31,155.0,174.0,115.0,542.0,200.0,63.0
2020-09-07,142.0,147.0,127.0,530.0,218.0,58.0
2020-09-14,150.0,191.0,141.0,520.0,203.0,55.0
2020-09-21,155.0,166.0,138.0,538.0,212.0,52.0
2020-09-28,160.0,174.0,129.0,524.0,192.0,48.0
2020-10-05,184.0,198.0,168.0,530.0,204.0,64.0
2020-10-12,178.0,176.0,171.0,496.0,203.0,55.0
2020-10-19,250.0,232.0,226.0,530.0,193.0,49.0
2020-10-26,316.0,274.0,275.0,570.0,215.0,55.0
2020-11-02,326.0,305.0,308.0,542.0,278.0,68.0
2020-11-09,294.0,259.0,283.0,591.0,349.0,75.0
2020-11-16,276.0,259.0,205.0,559.0,396.0,90.0
2020-11-23,262.0,275.0,190.0,609.0,390.0,85.0
2020-11-30,188.0,229.0,150.0,641.0,429.0,83.0
2020-12-07,225.0,236.0,162.0,584.0,383.0,93.0
2020-12-14,202.0,246.0,157.0,594.0,336.0,83.0
